Date,Open,Close,High,Low
16/11/2023,50.15%,49.67%,50.15%,49.67%
17/11/2023,50.09%,49.65%,50.09%,49.64%
20/11/2023,50.07%,49.76%,50.07%,49.44%
21/11/2023,49.92%,49.97%,50.03%,49.92%
22/11/2023,50.34%,50.51%,50.51%,50.19%
23/11/2023,50.66%,51.15%,51.15%,50.64%
24/11/2023,51.12%,51.09%,51.12%,50.69%
27/11/2023,51.38%,50.75%,51.38%,50.75%
28/11/2023,50.92%,51.15%,51.15%,50.92%
29/11/2023,51.23%,51.70%,51.70%,51.18%
30/11/2023,51.55%,51.99%,51.99%,51.53%
1/12/2023,52.16%,52.12%,52.16%,52.09%
4/12/2023,52.45%,52.74%,52.74%,52.45%
5/12/2023,53.46%,53.20%,53.60%,53.20%
6/12/2023,53.56%,53.47%,53.56%,53.37%
7/12/2023,53.60%,53.43%,53.60%,53.43%
8/12/2023,53.62%,53.51%,53.64%,53.51%
11/12/2023,54.12%,54.06%,54.12%,54.06%
12/12/2023,54.19%,53.91%,54.19%,53.91%
13/12/2023,54.31%,54.33%,54.37%,54.31%
14/12/2023,54.28%,54.25%,54.28%,54.25%
15/12/2023,54.31%,54.32%,54.32%,54.22%
18/12/2023,54.60%,54.49%,54.63%,54.49%
19/12/2023,54.57%,54.33%,54.58%,54.33%
20/12/2023,54.57%,54.40%,54.57%,54.37%
21/12/2023,54.55%,54.31%,54.55%,54.31%
22/12/2023,54.83%,54.55%,55.12%,54.55%
27/12/2023,55.00%,54.59%,55.00%,54.59%
28/12/2023,54.81%,54.78%,54.81%,54.78%
29/12/2023,54.84%,54.84%,54.84%,54.84%
2/1/2024,54.52%,55.12%,55.12%,54.52%
3/1/2024,55.32%,55.37%,55.37%,55.32%
4/1/2024,55.29%,55.16%,55.29%,55.16%
5/1/2024,55.43%,55.30%,55.48%,55.30%
8/1/2024,55.48%,55.69%,55.69%,55.48%
9/1/2024,56.03%,56.69%,56.69%,56.02%
10/1/2024,57.26%,56.89%,57.26%,56.71%
11/1/2024,56.05%,56.06%,56.69%,56.05%
12/1/2024,56.49%,57.13%,57.13%,56.31%
15/01/2024,56.60%,57.10%,57.11%,56.60%
16/01/2024,58.14%,57.12%,58.14%,56.96%
17/01/2024,57.31%,57.18%,57.31%,57.18%
18/01/2024,58.10%,58.11%,58.11%,58.10%
